rater 1,rater 2,rater 3
8.122907643,11.09668052,8.355453492
9.903180478,11.523136,8.973826568
8.505830153,9.301196844,8.18779648
8.281616069,10.13043234,8.407472984
9.768888514,11.38903402,9.41424346
10.41144464,10.58079641,8.923879255
8.867408629,11.19900778,8.449987334
8.564842737,10.34345301,8.042173264
8.372257131,9.808300164,7.523781365
7.645987392,7.940922486,7.454708446
9.181330638,8.885808376,8.156891783
9.941696253,10.75952546,8.483103783
9.185519281,9.683750052,7.549680459
7.09519489,9.191576372,8.131712338
9.625623577,8.311990826,8.403288071
9.302556876,9.410426171,7.940846403
7.746349363,8.657465348,7.234063954
8.913362989,10.35761979,9.316580018
10.09607573,11.47985654,9.530609527
9.375792305,9.887361985,9.505105845
7.994919566,10.34562208,8.15005515
7.740990139,9.756154111,7.419772101
8.233708078,8.422871725,7.536346076
10.19379882,10.23252458,8.788909872
8.292380138,9.469771506,7.15600021
7.855771616,9.819506784,9.088916382
10.09583808,10.35633275,8.997346948
7.684203667,7.977971037,7.232234616
8.749578428,10.17761989,8.664166414
10.47259425,9.309608776,9.690057944
7.437359843,9.314985929,6.89635717
10.45978297,9.310943479,10.54425804
9.54268737,9.712395786,8.160908334
10.54973925,12.0334146,9.164036136
7.462716824,10.02754453,6.924531023
9.891785647,12.25786262,9.848003061
9.663391812,10.47990259,7.673379865
10.44231277,10.3069777,8.520603362
10.19950892,11.84317541,7.899380618
8.911239491,9.748842775,10.42249272
10.1897528,10.89221412,9.431759976
9.245484438,11.58221207,10.08574165
9.0115578,10.13225902,8.18598401
7.951567515,9.26910463,8.925702574
10.53372327,11.65277811,8.946901601
8.510706997,9.621213078,7.769953487
8.739045678,11.08097508,8.590676667
8.11898619,10.26976038,7.469452447
9.057101399,9.760947502,8.819587178
10.47888822,9.904646727,9.331992423
9.873503905,11.10240704,9.75175948
9.977988045,11.58135835,8.910803653
8.16217824,9.651360774,8.132667607
9.734296468,10.46093201,8.863435052
9.466482181,10.98410069,9.134944955
8.399280699,10.10164494,9.522594998
10.42805284,11.94198249,10.3844888
8.733927035,9.275545654,8.61211404
8.644506342,9.035129567,7.782059247
10.04332716,10.40006581,10.22596317
7.129247327,9.60682554,6.495657448
8.256636202,10.04555492,7.126216833
6.361341972,7.554230823,7.069405832
8.580066469,9.215108558,7.768608143
7.940247307,8.495060143,7.170117381
9.047141175,9.616602105,9.644981748
7.279954958,9.567901879,7.645424616
8.240584227,9.826022528,8.060749034
9.067669181,9.58701932,8.715648397
10.75713053,10.01275417,10.1923535
8.435970356,9.36595704,6.28259185
10.60848412,10.42397391,10.35530711
8.945396706,9.003581339,9.910491713
8.602947977,8.444580796,8.674247683
9.34346434,11.04561823,8.341553396
8.63278122,9.510155888,8.129538504
8.746781044,9.588379629,7.114216353
9.790157631,10.54402904,8.750932331
7.610436993,10.16452452,8.203751945
9.79464108,9.631774313,9.78915688
9.904841132,11.82196815,9.221927179
9.861678165,10.40819017,9.352639354
10.60215277,11.74672192,10.33373688
10.02020662,10.78023645,9.319824813
9.352078059,11.25615317,9.617124705
9.136127411,10.05811998,8.277901268
7.228700991,9.997149014,7.473679773
8.000368367,8.271637647,7.99511636
9.117652058,9.192581003,7.920346754
8.752387469,10.06880192,7.275162288
8.490219463,9.308452973,7.833339687
9.920699264,10.45156102,10.2941234
10.39594816,11.10340971,8.250545297
9.916680727,9.820732559,9.026590241
8.889903423,9.425317836,8.252563576
8.457323255,10.14037433,8.304241686
7.782913381,8.368590428,6.762806107
8.099421096,8.625679339,7.137894724
8.842562167,9.757046785,8.283004699
7.974525003,8.604613727,7.984936628